date,score,city,comment,nick
2018-07-31,5,鞍山,很不错的一部电影，喜欢沈腾,ZNh236536165
2018-07-31,5,天津,不错，很轻松的一部电影！,happycrystal
2018-07-31,5,温岭,好看   动作真实  情感投入正确,Anber574
2018-07-31,0,平顶山,差评，最后一次来星美金山店，真乱，坐不到自己的位置，真垃圾，工作人员也不管,jJu946276004
2018-07-31,5,中山,笑就完了，，,uRx293615166
2018-07-31,5,温州,全程笑点不错的片子,QXJ286452321
2018-07-31,4.5,齐齐哈尔,挺逗的，有思考的做法。,HlZ720544165
2018-07-31,5,任丘,很好看的一部电影,MaB381771137
2018-07-31,3.5,昌乐,一般，剧情连接有点强求！凑合看,Mr、.吴
2018-07-31,5,北京,好笑，沈腾演的，你懂的,bMt906890778
2018-07-31,5,韶关,我还想再看一次,别回头788
2018-07-31,4,深圳,剧情简单，想要表达的意思也很明了。是一部易于被大众接受的电影。但值得反思和思考的点并不多，看的一乐,王鑫4579
2018-07-31,4,唐山,还行，有明星效应!,izG526241171
2018-07-31,5,天津,超级逗，片子不错,WaP252431725
2018-07-31,4,郑州,比较不错，缺乏创意,zzxxcc926
2018-07-31,5,南京,非常好看！赞👍,Jeanne七彩
2018-07-31,5,徐州,很好看啦 很喜欢,T.za
2018-07-31,5,南京,超棒……好久没看电影笑过了……估计皱纹又得笑多了……,唇边的滴酒
2018-07-31,1,洛阳,这个电影...只能说很失望了。没什么评价，真的不懂为什么分数不低...,霸王超、
2018-07-31,5,深圳,笑的脸颊疼，喜剧嘛，能大笑就对了，开心就好！,取个名这么难哇
2018-07-31,5,长治,还不错，比较喜欢,xiaojie30
2018-07-31,5,寿光,很不错很不错,JYE123666959
2018-07-31,5,唐山,今天刚看完，个人感觉还不错，笑点挺多的，看的大家都挺开心的，看电影不就应该这样吗？解压片，强烈推荐😄,小睿睿0521
2018-07-31,5,无锡,很好看，很搞笑。,rcg447030353
2018-07-31,5,长沙,之前觉得但凡平凡高的国产电影就是那几种无营养搞笑耍宝镜头居多，  但真正有内涵的并不多 。之前看到足球场那段觉得这是本部片的最大败笔但看到后面理解本片所传递的精神，而且还鼓励人们减肥，人性与金钱是无可比拟的为了爱可以付出一切 搞笑而不庸俗，低调而尽显着轻松的气氛 。很不错 ps（女主超漂亮哦）,gCp282127349
2018-07-31,3.5,北京,比较喜欢沈腾的小品和电影，就这部电影来说，以喜剧的形式反应出人性,gYB316042037
2018-07-31,5,萍乡,好好看，好久没看这么好看的电影了,邹雨微妈妈J1769
2018-07-31,4.5,上海,好看，太搞笑了，也反映了男主人公在金钱面前人性的善良,红蜻蜓766
2018-07-31,5,枝江,好看，笑点很多,此情可待893
2018-07-31,5,潜江,全程无尿点  ,gPL242473809
2018-07-31,5,三河,实在太逗了，不行了，我要再看一遍,WMz918185955
2018-07-31,5,临沂,很好看，也感人也搞笑,佑1234567
2018-07-31,5,东营,很适合一帮朋友一起看,高海航700
2018-07-31,5,漳州,超好看！！推荐啊～,nRJ655366002
2018-07-31,5,深圳,好好看 好搞笑，但是也感人,RVu861605791
2018-07-31,5,新郑,很好，期待下一部,l764931851
2018-07-31,5,无锡,超级无敌好看,mSH538882172
2018-07-31,4.5,丹东,炎炎夏日，在影院里吹着凉风，搞笑逗乐，此一赞！体表凉爽舒适，内心温暖，此二赞！完美体验。,IFv197634563
2018-07-31,5,铁岭,这个片子必须五星好评，太好了演的是我看过的喜剧最好的一部,HKv714268141
2018-07-31,5,莱州,回到家还是开心的，嘴角还是上扬的，很棒！,gqC735586780
2018-07-31,3.5,本溪,好评连连不断,小徐的店
2018-07-31,5,玉林,"支持开心麻花！
故事性强点就更棒了！
中间煽情部分与感情线稍微僵硬！",怀瑾君
2018-07-31,4.5,合肥,沈腾是可以独撑电影的喜剧效果的艺人，功底很深厚，还有一个强大的团队。电影挺好看的，点赞！,ylo570383517
2018-07-31,4,晋江市,挺好看的，就是电影院的小孩特别吵,ncU425677085
2018-07-31,4.5,广州,嗯，不错，有搞笑也有感悟,GZQ655180943
2018-07-31,4.5,丰城,全场笑点不停,水深不语914
2018-07-31,5,武汉,符合现在人的心理，好笑,万志华
2018-07-31,5,信阳,很好，很搞笑，很喜欢，很开心,Ram681644815
2018-07-31,5,太原,好看好看，好好看,关吃饭
2018-07-31,3,吴江,这种电影哪来的9分？？？,pRS218385672
2018-07-31,5,潮州,很有感触，大家可以去看看,SMf929374584
2018-07-31,5,泰州,好看，非常不错,姜的豆
2018-07-31,5,襄阳,不错，值得一看！,CXd817494687
2018-07-31,5,常州,笑得肚子疼，太幽默了,张逸可
2018-07-31,4.5,乌鲁木齐,电影不错，笑点很密集，麻花出品质量保证,周明爸爸
